sentence,type
"or a ""ogan""",Continuer
are you a male?,ynQuestion
JOIN,System
JOIN,System
show will,System
let's talk.,Statement
PART,System
:),Emotion
haha,Emotion
brb,Bye
opps,Emotion
JOIN,System
PART,System
sho*,Clarify
.ACTION keeps 10-19-20sUser115s place nice and warm.,System
hey any guys with cams wanna play?,ynQuestion
.ACTION sits on 10-19-20sUser68's lap.,System
JOIN,System
JOIN,System
any guyz wanna chat ,ynQuestion
hi there,Greet
"boo, it's a female.",Statement
hey 10-19-20sUser126,Greet
PART,System
i wonna chat,Statement
PART,System
24 f nc single mom,Statement
where did everyone gooo?,whQuestion
sure 10-19-20sUser126,yAnswer
JOIN,System
what did you but on e-bay,whQuestion
i feel like im in the wrong room,Statement
yeee haw 10-19-20sUser30,Emotion
"im considering changing my nickname to ""ihavehotnips""",Statement
JOIN,System
"i don't want hot pics of a female, I can look in a mirror.",Statement
hi 10-19-20sUser64,Greet
wb 10-19-20sUser139,Greet
u should 10-19-20sUser44:),Accept
PART,System
PART,System
JOIN,System
single dad here,Statement
JOIN,System
ty 10-19-20sUser68,Statement
PART,System
JOIN,System
Hi 10-19-20sUser139,Greet
PART,System
JOIN,System
hi 10-19-20sUser138,Greet
HAHAHA,Emotion
yw 10-19-20sUser139,Statement
"you should make it 'iamahotnip', 10-19-20sUser44",Statement
alright,Accept
hi 10-19-20sUser139.,Greet
you're fucking hot.,Statement
i thought of that!,Emphasis
"hi 10-19-20sUser126, its so late",Greet
lmao,Emotion
"ahah ""iamahotniplickme""",Statement
PART,System
Hi 10-19-20sUser121,Greet
in ny,Statement
.ACTION would lol @ 10-19-20sUser121 . . . but appearently she does not like that.,System
cya later guys,Bye
single white male 26,Statement
can't sleep huh?,ynQuestion
JOIN,System
hi 10-19-20sUser139,Greet
bye 10-19-20sUser20,Bye
well 10-19-20sUser68 what did u buy,whQuestion
yeah i know,Accept
:),Emotion
10-19-20sUser136.. get the hell outta my freaking PM box.. Im with my fiance!!!!!!!!!!!!!!!!,Reject
answers for 10-19-20sUser139 ... hi 10-19-20sUser101 ;),Statement
"I like it when you do it, 10-19-20sUser83",Statement
iamahotnipwithpics,Statement
10-19-20sUser20 go plan the wedding! :P,Emphasis
first warning !!!!!,Emphasis
PART,System
JOIN,System
uh huh ,Accept
A gold jeep charm for my necklace 10-19-20sUser30,Statement
make sure u buy a nice ring for 10-19-20sUser6,Statement
lol 10-19-20sUser7,Emotion
Hi 10-19-20sUser115,Greet
.ACTION isnt falling for that one again.,System
10-19-20sUser136.. get the hell in my freaking PM box.. I have no fiance!!!!!!!,Emphasis
right on,Accept
i have one already 10-19-20sUser7... yayayayayyy!!,Statement
OOooOO:),Emotion
how you doin 10-19-20sUser139,whQuestion
lmaoo 10-19-20sUser121,Emotion
'iamahotnipwithhotnippics,Statement
',Continuer
how many kts,whQuestion
any single white females?,ynQuestion
off off?,ynQuestion
really?,ynQuestion
"Just fine thanks, how are you?",whQuestion
that sounds freakishly like dr seuss,Statement
"wow. twice, I'm impressed.",Statement
PART,System
hiya room,Greet
lmao!!!,Emotion
im doin alright thanks,Statement
omg,Emotion
"Finger.. Deep within the borderline.. Show me that you love me, and that we belong together... Relax.. Turn around.. And take my.. Hand.. ",Statement
I just laughed,Statement
didnt even look hang on,Statement
finger?,ynQuestion
yay!,Emotion
PART,System
that's such a DIRTY word.,Emphasis
oh its 14k,Accept
10-19-20sUser141... get outta my PM Box.. didnt ya hear!!!!,Reject
PART,System
JOIN,System
geeshhh,Emotion
lol 10-19-20sUser6,Emotion
PART,System
hes deaf,Statement
ppl here dont get it,Statement
"10-19-20sUser6,",Statement
!hug 10-19-20sUser115,Statement
.ACTION watches 10-19-20sUser6 hug the stuffin' outta 10-19-20sUser115....,System
you can forward the pervs to me.,Continuer
.ACTION hugs 10-19-20sUser6.,System
any girls wanna chat with 24/m,ynQuestion
please behave baby boy.. I gottsa go now,Statement
"Only for the dirty minded, 10-19-20sUser121.",Statement
ima behave,Statement
yes 10-19-20sUser121??,whQuestion
PART,System
aww 10-19-20sUser6 have fun,Statement
forwads away from 10-19-20sUser121,Statement
i already wrote what i wanted you to read.,Statement
theres nobody here i wanna misbeahve with lol,Statement
JOIN,System
so read it.,Statement
thanks 10-19-20sUser7.. Im happy to have my fiance here!!,Emphasis
forwads?,whQuestion
JOIN,System
22/m/wa any ladies want to chat,ynQuestion
can i talk to him!!,ynQuestion
lol 10-19-20sUser121!!!,Emotion
forwards too,Clarify
lol,Emotion
JOIN,System
ALL PErvs... redirect to 10-19-20sUser121's PM VBox!!!,Emphasis
PART,System
I'll take all that I can get.,Statement
JOIN,System
PART,System
who is he 10-19-20sUser6?,whQuestion
i hate it when my devotion to christianity is questioned.,Statement
10-19-20sUser121,Statement
who honey??,whQuestion
Depends,Statement
Hi all 31/m/CA,Greet
10-19-20sUser115 is having my babies 10-19-20sUser20,Statement
yep,Accept
lmao 10-19-20sUser7!!!,Emotion
.ACTION laughs.,System
:),Emotion
PART,System
"your fiance, do you know his handle?",ynQuestion
On what kinda pervs your lookin for,whQuestion
"what, 10-19-20sUser92.",whQuestion
JOIN,System
little jerks & jerkettes,Statement
i love jesus more than ANYONE ELSE,Emphasis
lolololll serg!!!,Emotion
handle?,whQuestion
oh well,Statement
beeehave,Statement
and he loves ME the most,Continuer
i love myself,Statement
JOIN,System
lol 10-19-20sUser44 how do u know that,whQuestion
what?,whQuestion
jerkettes?? lmao,whQuestion
CO?,ynQuestion
well if we have girls,Statement
i didnts say anithing wrong...,Statement
i can see it in his eyes,Statement
lol,Emotion
10-19-20sUser20=fiance,Statement
Jerketts,Statement
lmao,Emotion
wtf,whQuestion
yah I know honey!,Accept
JOIN,System
girl jerk kids,Statement
awwwwww,Emotion
you guys type too much. shut the fuck up.,Reject
girl jerks??,ynQuestion
.ACTION gives 10-19-20sUser68 a nice massage.,System
u shut the fuck up,Reject
PART,System
no i dont want daughters!!,Reject
ur annoying,ynQuestion
.ACTION Now Playing - Cradle of Filth - A Gothic Romance (Red Roses For The Devil's Whore).,System
JOIN,System
i want daughters 10-19-20sUser115!,Emphasis
:(,Emotion
10-19-20sUser30 = gettign cooler by the minute,Statement
what'd I miss?,whQuestion
lol,Emotion
noo there too much work!,Reject
why not?? girls are nice honey!!!,whQuestion
10-19-20sUser116,Statement
PART,System
10-19-20sUser7,Statement
PART,System
there is not!,Reject
heyy 10-19-20sUser148,Greet
i hate you.,Emotion
boys are naughtier,Statement
10-19-20sUser92.,Statement
JOIN,System
bye  10-19-20sUser148,Bye
Hmm,Statement
you I hate you say..,Statement
Guess what,Statement
PART,System
i hate you 10-19-20sUser121 fuck your ugly,Statement
JOIN,System
if i had a daughter she would regret me bein her dad,Statement
huh?,whQuestion
Hmm,Statement
PART,System
What?,whQuestion
aw 10-19-20sUser115 whys that,whQuestion
deep inside 10-19-20sUser121 wants what she hates,Statement
JOIN,System
ahahah 10-19-20sUser7!!,Emotion
id put caution tape all around her,Statement
Your phone sexs is the best,ynQuestion
---------> 27 M UK (pic in profile),Statement
Lmfao,Emotion
dr phil said so,Statement
I am ugly?,ynQuestion
PART,System
wouldnt let her date,Emotion
Isn't it? =-\,ynQuestion
aww.,Emotion
i feel bad now.,Statement
"10-19-20sUser7, try to arrange your words so they form coherent thoughts",Statement
PART,System
.ACTION -sits in the corner-.,System
JOIN,System
phone 10-19-20sUser92?,whQuestion
hello 10-19-20sUser84,Greet
.ACTION sits with 10-19-20sUser92.,System
hmph.,Statement
i hate you 10-19-20sUser68. does that mean I want you?,ynQuestion
10-19-20sUser6,Statement
hello room,Greet
lol 10-19-20sUser83,Emotion
and this.. has been the grammar lesson of the day courtesy of: 10-19-20sUser84!,Emphasis
PART,System
JOIN,System
yes 10-19-20sUser115?,whQuestion
.ACTION pokes 10-19-20sUser116.,System
if your fiance is still here could i talk to him?,ynQuestion
.ACTION counter pokes.,System
wait i didnt me phone you . . .  sheesh now im that phone perv guy,Statement
lets hope not 10-19-20sUser121,Statement
PART,System
yes 10-19-20sUser115!!!!,yAnswer
of course,Continuer
lets,Statement
woohoo!,Emotion
any girls wanna chat?  24/m,ynQuestion
JOIN,System
I think I am the exception to the rule,Statement
he's in PM land now though,Statement
lol,Emotion
ah ok,Accept
i wont bug em then,Statement
someone wanna find me a cheap flight to spain?,ynQuestion
i need to go this summer.,Statement
im a HUGE phone perv,Emphasis
ok seriously who was the dumbass that signed kev fetterline a rap deal????,whQuestion
it's an emergency.,Statement
JOIN,System
Ug .. no shit?,ynQuestion
il get u a cheap flight to hell:),Statement
lmao,Emotion
bbl maybe,Bye
PART,System
LOL,Emotion
lol 10-19-20sUser7,Emotion
"it was me, 10-19-20sUser83",Statement
hahah 10-19-20sUser83!,Emotion
8082653953,Statement
K-Fed got his ass kicked.. Lol,Statement
.ACTION laughs.,System
i got a first class ticket to hell,Statement
lol 10-19-20sUser7,Emotion
JOIN,System
any texas girls in here?,ynQuestion
anyone can be bought if theres enuff money 10-19-20sUser83:),Statement
any guys have webcams?,ynQuestion
.ACTION re-thinks liking 10-19-20sUser121.,System
JOIN,System
rethinks???,ynQuestion
lmaoooo,Emotion
"Aw, man.",Emotion
whats up 10-19-20sUser155,Greet
i was only kidding.,Statement
lol,Emotion
he's a douchebag.,Statement
Poor 10-19-20sUser121,Statement
i'm bored,Statement
love me.,Statement
pick me,Statement
choose me.,Statement
.ACTION is re-thinking the re-think .,System
10-19-20sUser6,Statement
nothing much u,Statement
(that was my meredith impression),Statement
PART,System
PART,System
yes 10-19-20sUser92???,whQuestion
sits with 10-19-20sUser30,Statement
Cum to my shower.,Statement
lol 10-19-20sUser121,Emotion
.ACTION 10-19-20sUser1370 watches his nads.,System
JOIN,System
asl,whQuestion
"not a lot, where u from",whQuestion
choose me too funny,Statement
You can pick your friends.. And you can pick your nose.. But you can't pick your friends nose.,Statement
JOIN,System
.ACTION sticks his fingers in 10-19-20sUser7s face.,System
lmaooo 10-19-20sUser92!!!!!!,Emotion
.ACTION 10-19-20sUser1370 watches ur nad with a stick.,System
ca u 10-19-20sUser23,Statement
ewwww,Emotion
lol *sniffs*,Emotion
ewwwwww,Emotion
PART,System
10-19-20sUser115!,Emotion
owww splinter,Statement
PART,System
JOIN,System
.ACTION licks 10-19-20sUser116's ear.,System
PART,System
ughhh,Emotion
does anyone want to talk to me on the phone?  I don't charge,ynQuestion
IL,Statement
.ACTION gagas.,System
.ACTION hangs head.,System
pm me for my phone number.,Statement
gags even,Statement
Lmfao 10-19-20sUser121,Emotion
.ACTION licks 10-19-20sUser92's neck.,System
i do,Statement
.ACTION bites her lip.,System
Meep,Statement
.ACTION is resisting.,System
ur female right,ynQuestion
lol 10-19-20sUser115,Emotion
beeeeehave,Statement
Remember the LAst time you did that,ynQuestion
.ACTION smirks innocently.,System
no ,nAnswer
go wash your hands now!,Emphasis
dude 10-19-20sUser92 gets around,Statement
jk,Statement
JOIN,System
1-900-anal-sex is 10-19-20sUser121's number,Statement
dang it. just as i predicted.  no one pm's me.,Statement
charge that is 1.99/min.,Statement
lol @ innocent,Emotion
hahah,Emotion
lol....,Emotion
yeah,Accept
LOLOLOLLL 10-19-20sUser12,Emotion
thats not nice,Reject
my neck,Statement
youasshole!,Emphasis
10-19-20sUser115 can i pm you?,ynQuestion
is like,Continuer
"no it's not 10-19-20sUser12, you shut yo mouth.",Reject
erm,Continuer
free for 10-19-20sUser68,Statement
Lmfao,Emotion
JOIN,System
.ACTION goes to wash his hands.,System
lmao ,Emotion
:-o,Emotion
I am innocent!,Emphasis
Lies.,Statement
lmao no 10-19-20sUser115,Reject
Check my record.,Statement
:),Emotion
Lol,Emotion
lick em 10-19-20sUser7,Statement
10-19-20sUser23 how old r u,whQuestion
lol,Emotion
Way to lie,Statement
mmhmm,Statement
10-19-20sUser20 is very polite!,Emphasis
calls 10-19-20sUser30,Statement
lmao,Emotion
24  u,Statement
"yo 10-19-20sUser115, may i om y?",ynQuestion
.ACTION lix.,System
ummm,Statement
lol,Emotion
LOL,Emotion
22 ,Statement
10-19-20sUser109 i dont cyber darlin ,Statement
"""youre dead to me""...",Statement
why...,whQuestion
he is 10-19-20sUser6!,Accept
I'm more innocent than anyone on Death Row.,Statement
but i'll call you just in case youre not dead,Continuer
hahaha,Emotion
u got a good catch:),Statement
.ACTION covers her neck.,System
are u mexican,ynQuestion
to talk,Continuer
what r u searching for?,whQuestion
he is notme!,Emphasis
ummm,Statement
why else darling?,whQuestion
lol,Emotion
he wont bite ya 10-19-20sUser115!,Emphasis
yeah u ,Accept
ooo wait,Statement
yeah,Accept
PART,System
is he your fiance??,ynQuestion
i'm going to bed now. iwant to have hot sexy dreams about 10-19-20sUser68,Statement
i do bite 10-19-20sUser6...,Reject
lmao@darling.. he's a guy!,Emphasis
.ACTION wishes someone would call cause I have free incoming call mins..,System
JOIN,System
yes,Accept
ditto 10-19-20sUser30 nite,Accept
lool,Emotion
ya do.. i know that.. ;),Continuer
10-19-20sUser23 kina give it away,Statement
oo ooooook then,Accept
hey room,Greet
hey if he wants to call me darlin its ok,Statement
"yeah, so did 10-19-20sUser155",Accept
PART,System
and he bites 10-19-20sUser115,Statement
not any more 10-19-20sUser115,Reject
lol,Emotion
guys are idiots.,Statement
go ahead pm me baby,Statement
10-19-20sUser109 .. get the fuck outta my PM!,Reject
in case you girls didn't know.,Statement
thought y were a girl,Statement
JOIN,System
for all the early20s.,Statement
hahah@baby,Emotion
what do u do in CA,whQuestion
.ACTION tears up the partial phone #.,System
10-19-20sUser109s in my pm too 10-19-20sUser6,Statement
any hot guys wanna chat 22-30,ynQuestion
u wanna have have hot sext dreams about urself 10-19-20sUser68,Statement
piff so now you dont wanna talk to me,Statement
:-o,Emotion
shows i didnt read the profile,Statement
thats so sexist,Emphasis
am a student u,Statement
dang 10-19-20sUser30,Emotion
thats right,Accept
lazy ppl... dont read profiles,Statement
sounds kinda conceited to me,Statement
yes,yAnswer
PART,System
JOIN,System
thats mean!,Emphasis
fine,Accept
!hug 10-19-20sUser20,System
.ACTION watches 10-19-20sUser6 hug the stuffin' outta 10-19-20sUser20....,System
busy peolpe either,Statement
I work in construction,Statement
"okay, I'm off for a bit.",Statement
i dont wanna talk to you either!,Emphasis
to calm myself down.,Statement
busy busy,Statement
any one want to chat,ynQuestion
a bit.,Statement
10-19-20sUser84.,Statement
.ACTION crosses arms.,System
later maybe...,Statement
geeshh... two kids fighting!,Emphasis
whats ur major,whQuestion
i probably sucks in summer too hot,Statement
I saw my name,Statement
was gonna dream about 10-19-20sUser30,Statement
PART,System
.ACTION sits down and eats chococake.,System
JOIN,System
ok lol,Emotion
.ACTION hugs 10-19-20sUser20.,System
aw yum,Emotion
child development,Statement
lol,Emotion
i want cho-co-la-te.,Emphasis
10-19-20sUser121 how near kc ?,whQuestion
just cheaking ,Statement
PART,System
JOIN,System
PART,System
hell yeah,Accept
10-19-20sUser115 hes taken alright,Accept
near near?,ynQuestion
:P,Emotion
CHOCO CHOCO,Emphasis
good night all,Bye
.ACTION smax.,System
lmaoo 10-19-20sUser7,Emotion
JOIN,System
haha,Emotion
It's only three syllables,Statement
 >:-> ,Emotion
wow thats near,Statement
geeshh,Emotion
cho-co-late,Emphasis
hehehe,Emotion
sowwy ppl!,Emphasis
PART,System
piff so,Statement
sowwy VVil and 10-19-20sUser36!,Statement
JOIN,System
.ACTION kisses 10-19-20sUser68.,System
so! Mmm,Statement
PayPal has free credit alert to hep against identity theft now,Statement
wont do it again.. ,Statement
too hot in the summer and too cold in the winter,Statement
.ACTION hands 10-19-20sUser121 the new cell phone chocolate.,System
!smooch 10-19-20sUser30,System
".ACTION walks up to 10-19-20sUser30, runs their fingers thru the back of 10-19-20sUser30's hair, closes their eyes, and gently kisses 10-19-20sUser30 on the neck, Compliments of 10-19-20sUser68!.",System
wat did u do 10-19-20sUser6?,whQuestion
woohoo paypal,Emotion
yeah?,ynQuestion
i typed choco in caps..lol,Statement
PART,System
sowwy,Statement
JOIN,System
PART,System
"umm, 10-19-20sUser83)",Statement
PART,System
lol,Emotion
!pounce 10-19-20sUser165,System
.ACTION watches 10-19-20sUser6 jump up and pounce 10-19-20sUser165... mmm I missed you baby!.,System
*spank*,Emphasis
you're not supposed to be here you're over your 20s.,Statement
good pay makes it better,Statement
yes,Statement
PART,System
that red color bit my eye man...,Statement
.ACTION video tapes.,System
hey 10-19-20sUser20,Greet
Im blind now,Statement
.ACTION has left the room.,System
hey este - 10-19-20sUser115- spank dat as -will,Greet
PART,System
hahah 10-19-20sUser121,Emotion
hey 10-19-20sUser165,Greet
funny.,Statement
Way to chase people out,Statement
lmao 10-19-20sUser83,Emotion
PART,System
watch him 10-19-20sUser6,Statement
:P,Emotion
ty 10-19-20sUser6,Statement
hey 10-19-20sUser6,Greet
PART,System
very bored any guys wana chat to a chik from aussie (i mean chat aswell) ,Statement
lol 10-19-20sUser7,Emotion
PART,System
"u got that right, i dont do shit, im the supervisor",Accept
Hello 10-19-20sUser165.,Greet
hey 10-19-20sUser165 how's u?,Greet
.ACTION has left the room with 10-19-20sUser83.,System
your fiance is ignoring me 10-19-20sUser6,Statement
JOIN,System
lol 10-19-20sUser115...,Emotion
what list should i put him in??,whQuestion
you wish,Statement
honey.. cmon,Statement
hi 10-19-20sUser128,Greet
nice,Statement
JOIN,System
not the special list cuz he ignored you,Statement
PART,System
hey 10-19-20sUser64,Greet
"put him in the ""untouchable"" list 10-19-20sUser115",Statement
im good 10-19-20sUser6,Statement
lmao 10-19-20sUser7,Emotion
how r u 10-19-20sUser128,whQuestion
hehe,Emotion
hows bout u,whQuestion
good to hear 10-19-20sUser165,Statement
no 10-19-20sUser6 knows i have 2 lists,Reject
JOIN,System
--------------------27 M London .. any girls who enjoys roleplay ..whisper me,Statement
good and urself ,whQuestion
PART,System
JOIN,System
wats are they?,whQuestion
PART,System
yes.. 2 lists,Accept
great ty,Statement
piff i aint tellin you,Reject
u know the u of I right fighting illin,Statement
10-19-30sUser11 lol,Emotion
lol 10-19-30sUser11,Emotion
wb 10-19-30sUser9,Greet
thank you vm,Statement
lol,Emotion
i had to shut the tv off... too much noise about nothing but stupid political ads... good grief,Statement
PART,System
JOIN,System
wb 10-19-30sUser15,Greet
JOIN,System
yeah i lost connection,Statement
so 10-19-30sUser11 how was youer day,whQuestion
its election season,Statement
ooo a scorpion,Statement
like always 10-19-30sUser7 and yours,whQuestion
same,Statement
well i was off of work today,Statement
what did u do 10-19-30sUser11,whQuestion
Uhh Ahh..............................Boyz II Men,Statement
scorpions rock... lol,Statement
what is ur job,whQuestion
me too 10-19-30sUser11,Statement
hehe,Emotion
"went to manhattan and back, boght some stuff then came back home",Statement
PART,System
what stuff 10-19-30sUser11? ,whQuestion
they can be vindictive,Statement
earrings and a coat,Statement
but nice people,Continuer
seriously 10-19-30sUser2? lol,ynQuestion
you read too many horror scopes,Statement
lol,Emotion
nice 10-19-30sUser11,Accept
i am horrified,Statement
hehe,Emotion
lmao 10-19-30sUser2,Emotion
10-19-30sUser2 even,Clarify
JOIN,System
well i am going talk later,Statement
byb,Statement
bye,Bye
Hey everyone!,Greet
nite 10-19-30sUser15,Bye
welcome 10-19-30sUser17,Greet
bye 10-19-30sUser15,Bye
Hey 10-19-30sUser9,Greet
what's the flavour of the day 10-19-30sUser9,whQuestion
i had a very intersting blueberry martini today... first time... liked it... ,Statement
see u all laterssss,Bye
What kind of consultant are you....I'm a financial consultant,whQuestion
byeeee,Bye
nite 10-19-30sUser7,Bye
bye 10-19-30sUser7,Bye
gonna eat dinner,Statement
PART,System
biz 10-19-30sUser17... ,Statement
Looking Through Patient Eyes.....PM Dawn   (last song of the evening-LIVE),Statement
cool...is biz going good?,ynQuestion
nite 10-19-30sUser7,Bye
mauh!!!!!!!!!!!!!!!!,Emotion
nite mike,Bye
i keep makin' $$ for others so it must be 10-19-30sUser17... lol,Statement
10-19-30sUser11 sup girl?,ynQuestion
me too...always seem to pick the right stocks for everyone else but me....lol,Statement
Hi 10-19-30sUser4,Greet
don't take your own advice? lol,ynQuestion
don't be your own client,Statement
you'll suffer,Continuer
JOIN,System
lmao,Emotion
I do...just always 2 days too late (after I finish meeting with all my clients),Statement
hi room,Greet
hey 10-19-30sUser18.. welcome,Greet
hi 10-19-30sUser9,Greet
mango is my fav,Statement
JOIN,System
thank you,Statement
PART,System
shaken or stirred 10-19-30sUser18?,whQuestion
hi 10-19-30sUser19,Greet
hey 10-19-30sUser18,Greet
good ques 10-19-30sUser17,Statement
always shakin'... lol,Statement
strong!,Emphasis
lmao 10-19-30sUser18,Emotion
strait up,Statement
lol,Emotion
JOIN,System
shakin,Statement
that's the way I like it ,Statement
oh ya,Accept
<sorry dont drink,Statement
its k,Statement
<is a smoker,Statement
me too,Statement
trying to quit,Statement
10-19-30sUser9...what's your preference?,whQuestion
<always 4.20 at my house,Statement
ya,Accept
PART,System
i like mine shook over ice,Statement
why so mad 10-19-30sUser19,whQuestion
<cali farmer,Statement
hmmmmmmm\,Statement
harvest good this year,Statement
brb,Bye
NICK :10-19-30sUser10,System
whoa,Statement
hb 10-19-30sUser2,Bye
i have teenagers,Statement
finally 10-19-30sUser10,Statement
lol,Emotion
ha i have one,Statement
i have 2,Statement
"18,   16",Continuer
what's the latest?,whQuestion
boys,Continuer
oh ny gosh,Emotion
"8,6 girls",Continuer
my,Clarify
that is ruff,Statement
so what are we talkin' about tonight?,whQuestion
PART,System
you're choice 10-19-30sUser17,Statement
mango martinis and teens,Statement
lol 10-19-30sUser18,Emotion
hey 10-19-30sUser9...you married?,ynQuestion
lol,Emotion
"hell no, u?",Reject
"sex, drugs and rock n roll",Statement
PART,System
lol 10-19-30sUser19,Emotion
wooooohoooo,Emotion
with an answer like that...nope....lol,Statement
ha,Emotion
maybe not the drugs,Statement
the rest i can do,Continuer
or the rock and roll....definitley the sex....lol,Statement
yeppers,Accept
ya drugs r bad,Statement
i sing for the ladies,Statement
oh no 10-19-30sUser19 are you from texas?,ynQuestion
any kids 10-19-30sUser9....,ynQuestion
no mame,nAnswer
"nada again 10-19-30sUser17, u?",nAnswer
<cali guy here,Statement
mikeeeeeeeeeeeeeeeeeeeeeeeeee,Greet
ok,Accept
see my nic,Statement
little boy,Statement
ya ,Statement
that's cool... kids are cool,Accept
JOIN,System
welcome 10-19-30sUser21,Greet
adults are cooler.....lol,Statement
i chatted with someone recently from texas who said yeppers alot,Statement
hi,Greet
JOIN,System
yea my 18 year old plays in my band,Statement
hi all,Greet
hi 10-19-30sUser21,Greet
JOIN,System
hey u550436035,Greet
NICK :10-19-30sUser10,System
i c,Statement
hi all ,Greet
hey 10-19-30sUser23 hun,Greet
hi 10-19-30sUser9,Greet
hi 10-19-30sUser23,Greet
yea its pretty cool,Accept
nice to see you here,Statement
hey everyone,Greet
so how do you unwind 10-19-30sUser9?,whQuestion
hi ,Greet
i'm doin' it now 10-19-30sUser17,Statement
the hair would suggest you party hard.....lol,Statement
what type of music does your band play,whQuestion
the hair?,ynQuestion
yep,yAnswer
yeah I'm ready to party,Statement
hey 10-19-30sUser9?,whQuestion
what you do for fun,Continuer
she's doin it....lol,Statement
not a loaded quistion,Statement
10-19-30sUser23,Greet
I'm flattered really!,Emphasis
with one hand,Continuer
what 10-19-30sUser11,whQuestion
JOIN,System
hi 10-19-30sUser24,Greet
"gentlemen...let""s be nce...there are ladies in the room....",Statement
really 10-19-30sUser17??? geeze,ynQuestion
I meant nothing by my comments,Statement
ae you sexy?,ynQuestion
PART,System
are,Clarify
how are you 10-19-30sUser23,whQuestion
no kidding if we be dumb asses they wont chat with ya,Statement
ok i guess,Statement
lmao 10-19-30sUser19,Emotion
go figure,Statement
 :-) ,Emotion
Finally someone figured out women...thanks 10-19-30sUser19,Statement
<tries to watch his manners,Statement
damn 10-19-30sUser17... ,Emotion
lol,Emotion
no problem,Statement
 ;-) ,Emotion
what was I thinking...orgy all around!!!!....lol,Emphasis
orgy?,ynQuestion
lol,Emotion
lmao... wow... ,Emotion
what one word can do for some people...easy there 10-19-30sUser3...lol,Statement
lol,Emotion
to funny,Emphasis
PART,System
JOIN,System
but getting back to the orgy......,Continuer
10-19-30sUser25,Greet
lmao 10-19-30sUser17,Emotion
10-19-30sUser3,Greet
10-19-30sUser25,Greet
whats up ,whQuestion
10-19-30sUser11,Greet
no,nAnswer
bye,Bye
me too........10-19-30sUser9,Statement
PART,System
lets play naked twister,Statement
.ACTION passes a drink to all in the room and a margarita for 10-19-30sUser11 .,System
cyber twister... how novel,Statement
ty 10-19-30sUser25 hun,Statement
10-19-30sUser9 all around,Statement
lol,Emotion
thanks 10-19-30sUser25... right on,Emphasis
no cheating now,Statement
PART,System
JOIN,System
oppsss lol ,Emotion
JOIN,System
lol 10-19-30sUser25... wb,Emotion
0,Other
10-19-30sUser25 if I were you I would ask for a better nickname,Statement
hi 10-19-30sUser25,Greet
wrong damn button again lol ,Statement
PART,System
bye 10-19-30sUser21,Bye
hey 10-19-30sUser26... out of the pm please,Statement
it is all good 10-19-30sUser17 call me what u like just not late for date or dinner lol ,Statement
lol,Emotion
lol 10-19-30sUser25,Emotion
10-19-30sUser9 seems to know all the right buttons to push;-),Statement
PART,System
lose the fantasy 10-19-30sUser17... lol,Statement
.ACTION is 10-19-30sUser10,System
i thought my name was shit head for a long time,Statement
.ACTION WOW! You said shit.. .,System
lost it years ago...,Statement
oooooooooooooonnnnnnnnnnnneeeeeeeeeeeeeeesssssssss ,Emphasis
ooopppps,Emotion
did not see u there baby ,Statement
sucks being you then huh? j/k :),ynQuestion
JOIN,System
hey 10-19-30sUser27... welcome,Greet
